The Treehouse Hotel Club & Spa	[1: ¬(Food & Drink_Restaurant; 1)=0.69 2: ¬(Bathroom_Toilet; 1)=0.54 3: ¬(Bathroom_Bathroom; 1)=0.51]
Homestay Morning Glory	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(Bathroom_Toilet; 1)=0.59 3: ¬(General_Newspapers; 1)=0.54]
Royal View	[1: ¬(Food & Drink_Restaurant; 1)=0.67 2: ¬(Cleaning services_Dry cleaning; 1)=0.54 3: ¬(Business facilities_Meeting/banquet facilities; 1)=0.49]
The Celebration Van Vilas Bandhavgarh	[1: ¬(General_Air conditioning; 1)=0.54 2: ¬(General_Newspapers; 1)=0.54 3: ¬(Internet_Free! WiFi is available in all areas and is free of charge.; 1)=0.5]
OYO Rooms Veraval Indian Rayon 1	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(Bathroom_Toilet; 1)=0.59 3: ¬(General_Air conditioning; 1)=0.54]
The Fern Residency, MIDC, Pune	[1: ¬(Bathroom_Toilet; 1)=0.59 2: ¬(Internet_Free! WiFi is available in all areas and is free of charge.; 1)=0.5 3: ¬(Bedroom_Wardrobe/Closet; 1)=0.41]
OYO Rooms Thane Station 2	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(Bathroom_Toilet; 1)=0.59 3: ¬(General_Air conditioning; 1)=0.54]
Vimegh Homestay	[1: ¬(Internet_Free! WiFi is available in all areas and is free of charge.; 1)=0.5 2: ¬(Food & Drink_Restaurant; 1)=0.42 3: ¬(Reception services_24-hour front desk; 1)=0.38]
Vista Premier at Ellis Bridge Cross Road	[1: ¬(General_Air conditioning; 1)=0.54 2: ¬(General_Newspapers; 1)=0.54 3: ¬(Bathroom_Shower; 1)=0.53]
Goodwill Guest House	[1: ¬(General_Air conditioning; 1)=0.54 2: ¬(Internet_Free! WiFi is available in all areas and is free of charge.; 1)=0.5 3: ¬(Bathroom_Free toiletries; 1)=0.45]
Hostel Parshvnath	[1: ¬(Pets_Pets are not allowed.; 1)=0.86 2: ¬(General_Newspapers; 1)=0.54 3: ¬(Internet_Free! WiFi is available in all areas and is free of charge.; 1)=0.5]
Samanvay Boutique Hotel	[1: ¬(property_type; 204)=0.8 2: ¬(General_Newspapers; 1)=0.78 3: ¬(General_Lift; 1)=0.71]
Vista Rooms At Station Road-Bhopal	[1: ¬(Bathroom_Shower; 1)=0.71 2: ¬(Bedroom_Wardrobe/Closet; 1)=0.56 3: ¬(Outdoors_Garden; 1)=0.53]
OYO Rooms Mahakal Marg	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(Bathroom_Toilet; 1)=0.59 3: ¬(Bathroom_Shower; 1)=0.53]
