Frances E. Allen	[1: ¬(gender; male)=0.96 2: ¬(occupation; mathematician)=0.46 3: ¬(employer; Massachusetts Institute of Technology)=0.27]
Andrew Yao	[1: ¬(member of; National Academy of Engineering)=0.54 2: ¬(occupation; engineer)=0.46 3: ¬(occupation; mathematician)=0.46]
John McCarthy	[1: ¬(field; computer science)=0.56 2: ¬(member of; National Academy of Engineering)=0.54 3: ¬(member of; Royal Society)=0.21]
Richard Hamming	[1: ¬(member of; American Academy of Arts and Sciences)=0.75 2: ¬(occupation; university teacher)=0.69 3: ¬(field; computer science)=0.56]
Tony Hoare	[1: ¬(member of; American Academy of Arts and Sciences)=0.75 2: ¬(citizen; United States of America)=0.73 3: ¬(member of; Association for Computing Machinery)=0.58]
Ron Rivest	[1: ¬(occupation; engineer)=0.46 2: ¬(member of; Royal Society)=0.21 3: ¬(employer; Stanford University)=0.18]
Richard M. Karp	[1: ¬(field; computer science)=0.56 2: ¬(occupation; engineer)=0.46 3: ¬(employer; Massachusetts Institute of Technology)=0.27]
Silvio Micali	[1: ¬(member of; Association for Computing Machinery)=0.58 2: ¬(occupation; engineer)=0.46 3: ¬(member of; Royal Society)=0.21]
Judea Pearl	[1: ¬(occupation; mathematician)=0.46 2: ¬(employer; Massachusetts Institute of Technology)=0.27 3: ¬(member of; Royal Society)=0.21]
John Edward Hopcroft	[1: ¬(field; computer science)=0.56 2: ¬(occupation; engineer)=0.46 3: ¬(occupation; mathematician)=0.46]
Allen Newell	[1: ¬(member of; Association for Computing Machinery)=0.58 2: ¬(member of; National Academy of Engineering)=0.54 3: ¬(occupation; engineer)=0.46]
Ole-Johan Dahl	[1: ¬(member of; American Academy of Arts and Sciences)=0.75 2: ¬(citizen; United States of America)=0.73 3: ¬(member of; Association for Computing Machinery)=0.58]
Ivan Sutherland	[1: ¬(field; computer science)=0.56 2: ¬(occupation; mathematician)=0.46 3: ¬(employer; Massachusetts Institute of Technology)=0.27]
Charles P. Thacker	[1: ¬(occupation; university teacher)=0.69 2: ¬(field; computer science)=0.56 3: ¬(member of; National Academy of Sciences)=0.54]
Edsger W. Dijkstra	[1: ¬(citizen; United States of America)=0.73 2: ¬(field; computer science)=0.56 3: ¬(member of; National Academy of Sciences)=0.54]
Dana Scott	[1: ¬(field; computer science)=0.56 2: ¬(member of; National Academy of Engineering)=0.54 3: ¬(employer; Massachusetts Institute of Technology)=0.27]
