Barbara Liskov	[1: ¬(member of; Israel Academy of Sciences and Humanities)=0.33 2: ¬(employer; New York University)=0.33 3: ¬(member of; Institute of Electrical and Electronics Engineers)=0.33]
Alan Perlis	[1: ¬(member of; Association for Computing Machinery)=0.57 2: ¬(member of; National Academy of Sciences)=0.51 3: ¬(occupation; engineer)=0.44]
Dennis M. Ritchie	[1: ¬(member of; American Academy of Arts and Sciences)=0.74 2: ¬(occupation; university teacher)=0.68 3: ¬(member of; Association for Computing Machinery)=0.57]
Yann LeCun	[1: ¬(member of; American Academy of Arts and Sciences)=0.74 2: ¬(citizen; United States of America)=0.72 3: ¬(occupation; university teacher)=0.68]
Joseph Sifakis	[1: ¬(citizen; United States of America)=0.72 2: ¬(occupation; university teacher)=0.68 3: ¬(member of; Association for Computing Machinery)=0.57]
Charles Bachman	[1: ¬(member of; American Academy of Arts and Sciences)=0.74 2: ¬(occupation; university teacher)=0.68 3: ¬(member of; Association for Computing Machinery)=0.57]
Robert W. Floyd	[1: ¬(member of; National Academy of Sciences)=0.51 2: ¬(member of; National Academy of Engineering)=0.51 3: ¬(occupation; mathematician)=0.47]
Frances E. Allen	[1: ¬(employer; Massachusetts Institute of Technology)=0.67 2: ¬(education; University of California  Berkeley)=0.67 3: ¬(occupation; cryptographer)=0.33]
Andrew Yao	[1: ¬(member of; National Academy of Engineering)=0.51 2: ¬(occupation; mathematician)=0.47 3: ¬(occupation; engineer)=0.44]
John McCarthy	[1: ¬(field; computer science)=0.54 2: ¬(member of; National Academy of Engineering)=0.51 3: ¬(member of; Royal Society)=0.22]
Richard Hamming	[1: ¬(member of; American Academy of Arts and Sciences)=0.74 2: ¬(occupation; university teacher)=0.68 3: ¬(field; computer science)=0.54]
Tony Hoare	[1: ¬(member of; American Academy of Arts and Sciences)=0.74 2: ¬(citizen; United States of America)=0.72 3: ¬(member of; Association for Computing Machinery)=0.57]
Ron Rivest	[1: ¬(occupation; engineer)=0.44 2: ¬(member of; Royal Society)=0.22 3: ¬(employer; Stanford University)=0.19]
Richard M. Karp	[1: ¬(field; computer science)=0.54 2: ¬(occupation; engineer)=0.44 3: ¬(employer; Massachusetts Institute of Technology)=0.25]
Silvio Micali	[1: ¬(member of; Association for Computing Machinery)=0.57 2: ¬(occupation; engineer)=0.44 3: ¬(member of; Royal Society)=0.22]
Judea Pearl	[1: ¬(occupation; mathematician)=0.47 2: ¬(employer; Massachusetts Institute of Technology)=0.25 3: ¬(member of; Royal Society)=0.22]
John Edward Hopcroft	[1: ¬(field; computer science)=0.54 2: ¬(occupation; mathematician)=0.47 3: ¬(occupation; engineer)=0.44]
Allen Newell	[1: ¬(member of; Association for Computing Machinery)=0.57 2: ¬(member of; National Academy of Engineering)=0.51 3: ¬(occupation; engineer)=0.44]
Ole-Johan Dahl	[1: ¬(member of; American Academy of Arts and Sciences)=0.74 2: ¬(citizen; United States of America)=0.72 3: ¬(member of; Association for Computing Machinery)=0.57]
Ivan Sutherland	[1: ¬(field; computer science)=0.54 2: ¬(occupation; mathematician)=0.47 3: ¬(employer; Massachusetts Institute of Technology)=0.25]
Charles P. Thacker	[1: ¬(occupation; university teacher)=0.68 2: ¬(field; computer science)=0.54 3: ¬(member of; National Academy of Sciences)=0.51]
Edsger W. Dijkstra	[1: ¬(citizen; United States of America)=0.72 2: ¬(field; computer science)=0.54 3: ¬(member of; National Academy of Sciences)=0.51]
Dana Scott	[1: ¬(field; computer science)=0.54 2: ¬(member of; National Academy of Engineering)=0.51 3: ¬(employer; Massachusetts Institute of Technology)=0.25]
Robin Milner	[1: ¬(member of; American Academy of Arts and Sciences)=0.74 2: ¬(citizen; United States of America)=0.72 3: ¬(member of; National Academy of Sciences)=0.51]
Edmund M. Clarke	[1: ¬(member of; National Academy of Sciences)=0.51 2: ¬(employer; Massachusetts Institute of Technology)=0.25 3: ¬(member of; Royal Society)=0.22]
Ken Thompson	[1: ¬(occupation; university teacher)=0.68 2: ¬(member of; Association for Computing Machinery)=0.57 3: ¬(occupation; mathematician)=0.47]
Richard E. Stearns	[1: ¬(member of; American Academy of Arts and Sciences)=0.74 2: ¬(field; computer science)=0.54 3: ¬(member of; National Academy of Sciences)=0.51]
